wave,la ola,hullám
garage,el garaje,garázs
car rental,el alquiler de coche,autóbérlés
to help,ayudar,segíteni
key,la llave,kulcs
to open,abrir,kinyitni
divorce,el divorcio,válás
marriage,el matrimonio,házassás
husband,el marido,férj
open,abiert@,nyitott
bar,el bar,kocsma
ballet,el ballet,balett
petrol,la gasolina,benzin
bus,el autobús,autóbusz
democracy,la democracia,demokrácia
deodorant,el desodorante,dezodor
to disinfect,desinfectar,fertőtleníteni
slide,la diapositiva,diapozitív
further,todavía,további
in front of,delante de,előtt (térben)
progress,el progreso,haladás
representative,el representante,képviselő
Common Market,el Mercado Común,Közös Piac
to propose,proponer,javasolni
suggestion,la propuesta,javaslat
perhaps,quizá,talán
to prevent,prevenir,megelőzni
contraceptive,el preservativo,fogamzásgátló
never,nunca,soha
nobody,nadie,senki
nothing,nada,semmi
yesterday,ayer,tegnap
to lose one's way,extraviarse,eltévedni
lively,viv@,élénk
movie,la película,film
movie camera,la cámara cinematográfica,mozikamera
cinema,el cine,mozi
harvest,la cosecha,aratás
animal,el animal,állat
zoo,el jardín zoológico,állatkert
retired,jubilad@,nyugdíjas
experience,la experiencia,tapasztalat
life,la vida,élet
alive,viv@,élő
to live,vivir,élni
hostess,la huéspeda,hosztesz
more,más,több
most,la mayor parte,a nagyrésze
advance,el anticipo,előny (idő)
prejudice,el prejuicio,előítélet
before,antes,előtt (időben)
uncle,el tío,nagybácsi
first-aid,los primeros auxilios,elsősegély
first,primer@,első
epidemic,la epidemia,járvány
to doubt,sospechar,kételkedni
doubt,la duda,kétely
disorder,el desorden,rendetlenség
impolite,descortés,udvariatlan
unpleasant,desagradable,kellemetlen
mistake,el error,hiba
to be mistaken,equivocarse,tévedni
speciality,la especialidad,különlegesség
especially,especialmente,különösen
different,diferente,különböző
saparate,separad@,szétvált
excellent,excelente,kiváló
suburb,el suburbio,külváros
example,eé ejemplo,példa
thing,la cosa,dolog
to introduce,presentar,bemutatni
lecture,la conferencia,előadás
to prevent,impedir,elkerülni
snail,el caracol,csiga
forward,adelante,előre
lobby,el vestíbulo,előszoba
south,el sur,dél (irány)
vinegar,el vinagre,ecet
to look for,buscar,keresni
advantage,la ventaja,előny 
first name,el nombre de pila,keresztnév
front,el frente,homlok
distance,la distancia,távolság
pheasant,el faisán,fácán
fillet,el filete,filé
flu,la gripe,hűlés
physical,físic@,fitt
grapefruit,el pomelo,citrancs
grilled,asad@,sült | grillezett
ghost,el fantasma,szellem
fork,el tenedor,villa
to sue,demandar en justicia,beperelni
wound,la herida,seb
sticking plaster,el esparadrapo,sebtapasz
to smell,oler,szagolni
smell,el olor,szag
perfume,el perfume,parfüm
safety pin,el imperdible,?????
crack,la hendidura,repedés
government,el gobierno,kormány
cheap,barat@,olcsó
paralysed,paralizad@,béna
skirt,la falda,szoknya
tooth,el diente,fog
toothbrush,el cepillo de dientes,fogkefe
dentist,el dentista,fogorvos
toothache,el dolor de muelas,fogfájás
tooth paste,la crema dental,fogkrém
to procure,procurar,szerezni ????
glove,el guante,kesztyű
sour,agri@,savanyú
brush,el cepillo,kefe
to practise,ejercitarse,gyakorolni
exercise,el ejercicio,gyakorlat
to consider,considerar,figyelembe venni
grey,gris,szürke
shoulder,el hombro,váll
few,pocos,kevesen
rare,rar@,ritka
hat,el sombrero,kalap
burried,enterrado,eltemetett
funny,divertid@,vicces
tomb,la tumba,sírkő
funeral,el entierro,temetés
cemetery,el cementerio,temető
fruit,la fruta,gyümölcs
bulb,la bombilla,villanykörte
weak,débik,gyenge
to throw,lanzar,dobni
Whirsun,el Pentecostés,pünkösd
easy,fácil,könnyű
hell,el infierno,pokol
to spoil,mimar,pazarolni ????
to breathe,respirar,lélegezni
person,la persona,személy
personal,personal,személyi
staff,el personal,személyzet
mushroom,el champiñón,gomba
delicious,ric@,ízletes
nerve,el nervio,ideg
nervous,nervios@,ideges
peas,los guisantes,borsó
mister,el señor,úr
nice,dulce,kedves | szép | édi
to wake somebody up,despertar,felkölteni
to wake up,despertarse,felkelni
alarm clock,el despertador,ébresztőóra
immediately,en seguida,azonnal
moment,el momento,pillanat
horse,el caballo,ló
slow,lent@,lassú
sand,la arena,homok
fine,fin@,kiváló | fáin
to rub,frotar,súrolni
massage,el masaje,masszázs
sleeve,la manga,ingújj ???
strap,la correa,????
to ski,esquiar,síelni
coal,el carbón,szén
mouse,el ratón,egér
to sweat,sudar,izzadni
silence,el silencio,csend
jam,la marmelada,lekvár
price,el precio,ár
terrible,tremend@,borzasztó
lift,el ascensor,lift
history,la historia,történelem
any,algún,vaegy
anything,algo,bármi
hair pin,la horquilla,hajtű
to shine,brillar,csillogni
mouldy,mohos@,?????
silver,la plata,ezüst
hotel,el hotel,szálloda
bellboy,el botones,boy (szállogában)
to tempt,tentar,kisérteni
trousers,los pantalones,nadrág
rumour,el rumor,pletyka
to swindle,engañar,?????
dizzy,tener vertigos,szédül
summit,la cima,csúcs
to drown,ahogarse,megfulladni
crazy,loc@,bolond
drunk,borrach@,részeg
lobster,la langosta,languszta
honey,la miel,méz
to worry,preocuparse,aggódni
filling station,la estación de servicio,benzinkút
to notice,observar,észrevenni
remark,la observación,észrevétel
tomorrow,mañana,holnap
room,la habitación,lakrész
room,el cuarto,szoba
flat,el apartamento,lakás
furniture,los muebles,bútor
bad,mal@,rossz
unlucky,desafortunado,szerencsétlen
blanket,la manta,pokróc
lip,el labio,ajak
lipstick,el lápiz de labios,ajakrúzs
narcotics,las drogas,drogok
humour,el humor,humor
to shout,gritar,kiáltani
fun,la diversión,szorakozás
amusing,divertid@,szorakoztató
amusement,el recreo,????
to leave,dejar,elhagyni
to smile,sonreír,mosolyogni
to smile,sonreírse,mosolyogni (vh)
to jump,saltar,ugrani
cabin,el camarote,kunyhó
well,bien,jól
good,buen@,jó
to accept,aceptar,elfogadni
to approve,aprobar,jóváhagyni
jelly,la jalea,zselé
useful,útil,hasznos
useless,inútil,haszontalan
assault | attack,la agresión,agresszió
to attack,atacar,megtámadni
insect,el insecto,bogár
profit,el provecho,haszon
to disturb,molestar,zavarni
confused,confus@,megtévelyedett
spider,la araña,pók
beef,la carne de buey,marhahús
emergency,el caso de urgencia,sürgösségi eset
wedding,la boda,lakodalom
nonsense,el disparate,ertelmetlenség ????
steam,el vapor,gőz
idea,la idea,ötlet
to admire,admirar,bámulni
delighted,encantad@,????
miracle,el milagro,csoda
wonderful,maravillos@,csodálatos
people,la gente,az emberek
skin,la piel,bőr
rash,la erupción cutánea,?????
wimdow,la ventana,ablak
shutters,la contraventana,sötétítő
age,la edad,kor
supper,la cena,vacsora
air,el aire,levegő
free,libre,ingyenes
expression,la expresión,kifejezés
without,sin,nélkül
climate,el clima,klíma
anouncement,el anuncio,értesítés
anouncement,el aviso,hirdetmény
joy,la alegría,vidámság
glad,content@,elégedett
night,la noche,éjszaka
evening dress,el traje de gala,ünneplő ruha
afternoon,la tarde,délután
information,la información,információ
eager,ansios@,????
disabled person,el impedido,akadályoztatott
blow,el golpe,fújás
big,grande,nagy
grandfather,el abuelo,nagytata
grandmother,la abuela,nagymama
to sit,estar sentado,ülni
to sit down,sentarse,leülni
father,el padre,apa
host,el huésped,vendéglátó
to cry | to weep,llorar,sírni
independent,independiente,önálló
stubborn,terc@,makacs
east,el este,kelet
to share,dividir,elosztani
foot,el pie,lábfej
football,el fútbol,foci
jeweller,el joyero,ékszerész
brakes,los frenos,fék
to continue,continuar,folytatni
already,ya,már
to lead ,conducir,vezetni
manager,el gerente,menedzser
everubody,cada uno,mindenki
every,cada,mindegyik
river,el río,folyó
rather,bastante,meglehetősen
someone,alguien,valaki
queue,la cola,sor
if,si,ha
sometimes,de vez en cuando,alkalmanként
team,el equipo,csapat
among | between,entre,között
Christmas,el Navidad,karácsony
spring,el resorte,rúgó
public,públic@,nyilvános
cruel,cruel,gonosz
God,el Dios,Isten
train,el tren,vonat
to drink,beber,inni
tip,la propina,borravaló
gossip,el chisme,?????
to run,correr,szaladni
to char,charlar,csevegni
root,la raiz,gyökér
cheese,el queso,sajt
steep,escarpad@,meredek
after,después de,után (idő)
dessert,el postre,desszert
again,de nuevo,újból | megint
tension,la tensión,feszültség
to arrange,arreglar,elrendezni
organization,la organización,szervezet
to organize,organizar,szervezni
reasonable,razonable,elfogadható
shock,el susto,????
lake,el lago,tó
member,el miembro,tag
garbage,la basura,szemét
stiff,ties@,merev
tetanus,el tétanos,tetánusz
ice,el hielo,jég
to stay,quedarse,maradni
fridge,la nevera,hűtőszekrény
ice-cream,el helado,fagylalt
cocoa,el cacao,kakaó
cabbage,la col,káposzta
cupboard,el armario,konyhaszekrény
to pour,echar,tölteni | önteni
to envy,envidiar,irígyelni
to disappear,desaparecer,eltűnni
to lose,perder,elveszteni
double room,la habitación doble,duplaágyas szoba
coffee,el café,kávé
all,todo,mindegyik
everywhere,en todas partes,mindenütt
loudspeaker,el altavoz,hangosbemondó
to dig,cavar,ásni
to miss | to long for,echar de menos,hiányolni valamit
mine,la mina,bánya
cake,el pastel,sütemény
double,doble,dupla
fish,el pescado,hal
to fish,pescar,halászni
rock,la roka,szikla
expensive,car@,drága
precious,precioso,értékes
pale,pálid@,sápadt
furnished,amueblad@,bútorozott
comb,el peine,fésű
hairdresser,el peluquero,fodrász
hen,la gallina,tyúk
egg,el heuvo,tojás
chicken,el pollo,csirke
cloth,la tela,????
portable,portátil,hordozható
international,internacional,nemzetközi
nation,la nación,nemzet
nationality,nacionalidad,állampolgárság
to carry,llevar,vinni | viselni
porter,el mozo ,portás
heel,el talón,sarok (cipő)
captain,el capitán,kapitány
map,la mapa,térkép
magnetic tape,la cinta magnetofónica,magnószalag
tape recorder,el magnetófono,magnó
safe,la caja fuerte,széf
sauce,la salsa,szósz
to grow,crecer,növekedni
education,la educación,nevelés
vegetarian,el vegetariano,vegetariánus
face,la cara,arc
to turn off,apagar,kikapcsolni
shrimo,la gamba,rák
bitter,amarg@,keserű
spectator,el espectador,néző | közönség
to watch,observar,nézni | figyelni
look at,mirar,nézni
kettle,la caldera,teafőző kanna
roof,el tejado,tető
road | street,la calle,utca
to regret,arrepentirse,sajnálni
awful,terrible,ronda
far away,lejos,távol
neck,el cuello,nyak
scarf,la bufanda,sál
necklace,el collar,nyaklánc
beutiful,bell@,szép
commerce,el comercio,kereskedelem
city hall,el ayuntamiento,városháza
town,la ciudad,város
to develop,desarrollar,fejleszteni
frame,el marco,keret
artificial,artificial,mesterséges
kitchen,la cocina,konyha
soup,la sopa,leves
to cook,hervir,főzni
biscuit,el bizcocho,keksz
cellar,el sótano,pince
watch,el reloj,karóra
watchmaker,el relojero,óramester
to float,flotar,lebegni
yellow,amarill@,sárga
dry cleaning,la limpieza a seco,száraztisztítás
shoelace,el cordón de zapato,cipőfűző
shoe,el zapato,cipő
shoe polish,la pasta para calzado,cipőpaszta
field,el campo,mező
beggar,el mendigo,koldus
cream,la nata,tejszín
floor,el piso,emelet
time (occasion),la vez,alkalom
to tell,contar,mondani
story,la historia,történet
to collect,coleccionar,gyűjteni
collection,la colección,gyűjtemény
to interrupt,interrumpir,félbeszakít
Middle Ages,la edad media,középkor
Middle Ages,el medio,közép
noon,el mediodía,dél
midnight,la medianoche,éjfél
center,el centro,központ
central heating,la calefacción central,központi fűtés
to discuss,discutir,megvitatni
conversation,la conversación,párbeszéd
to last,durar,telni (időbe)
summer,el verano,nyár
daylightüsaving time,la hora de verano,nyári időszámítás
cottage,la casa de recreo,nyaraló
chain,la cadena,lánc
lung,el pulmón,tüdő
light,liger@,könnyű
spring,la primavera,tavasz
language,el idioma,nyelv (amit beszélünk)
tongue,la lengua,nyelv
forbidden,prohibid@,tilos
to refuse,rehusar,elutasítani
tour,la vuelta,túra | körverseny
fiancé,el novio,vőlegény
fiancée,la novia,menyasszony
binoculars,los gemelos,kukker
to polish,dar brillo,fényesíteni
closed,cerrad@,zárt
interesting,interesante,érdekes
interest,el interés,érdek
solid,sólid@,szilárd
